Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"912862762","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:06:58","0004405d-0009-40dd-0000-4b900003599d_0004405d-0009-40dd-0000-000080280023","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862715","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:05:12","0004405d-0009-40dd-0000-4b90000357c0_0004405d-0009-40dd-0000-000080280023","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862348","7.24","-0.01","USD","TRANSFER","PROCESSED","2022-12-18 15:53:08","","","","","CFD"
"912862282","7.25","0","USD","TRADE","PROCESSED","2022-12-18 15:50:04","000d23dd-0001-54c4-0000-4b90001f5348_000d23dd-0001-54c4-0000-0000803b006f","CRO/USD","Crypto.com Coin / USD","","CFD"
"912862249","7.25","-0.23","USD","TRADE","PROCESSED","2022-12-18 15:48:08","0060535d-0009-40dd-0000-4b90000349d3_0060535d-0009-40dd-0000-000080250190","XEM/BTC","XEM / Bitcoin","","CFD"
"912862246","7.48","-1.23","USD","TRADE","PROCESSED","2022-12-18 15:47:53","0060535d-0009-40dd-0000-4b900003499a_0060535d-0009-40dd-0000-000080250190","XEM/BTC","XEM / Bitcoin","","CFD"
"912862245","8.71","-0.2","USD","TRADE","PROCESSED","2022-12-18 15:47:53","0060535d-0009-40dd-0000-4b9000034999_0060535d-0009-40dd-0000-00008025018d","XEM/BTC","XEM / Bitcoin","","CFD"
"912862221","8.91","0","USD","TRADE","PROCESSED","2022-12-18 15:46:30","0008151d-0001-54c4-0000-4b90001f4036_0008151d-0001-54c4-0000-0000803d0025","BAT/USD","Basic Attention Token / USD","","CFD"
"912862212","8.91","0","USD","TRADE","PROCESSED","2022-12-18 15:46:05","0008151d-0001-54c4-0000-4b90001f3d50_0008151d-0001-54c4-0000-0000803d0020","BAT/USD","Basic Attention Token / USD","","CFD"
"912862165","8.91","-0.01","USD","TRADE","PROCESSED","2022-12-18 15:44:37","0008151d-0001-54c4-0000-4b90001f3640_0008151d-0001-54c4-0000-0000803d000f","BAT/USD","Basic Attention Token / USD","","CFD"
"912862081","8.92","-0.3","USD","TRADE","PROCESSED","2022-12-18 15:40:17","0c54e05d-0001-54c4-0000-4b90001f1ef1_0c54e05d-0001-54c4-0000-000080e103d9","LUNC/USD","LUNA Classic / USD","","CFD"
"912861886","9.22","0","USD","TRADE","PROCESSED","2022-12-18 15:32:50","0004405d-0009-40dd-0000-4b9000033e26_0004405d-0009-40dd-0000-00008028002b","ADA/BTC","Cardano / Bitcoin","","CFD"
"912861858","9.22","-0.36","USD","TRADE","PROCESSED","2022-12-18 15:30:56","1320909d-0001-54c4-0000-4b90000026d8_1320909d-0001-54c4-0000-0000803f0837","SHIB/USD","Shiba Inu / USD","","CFD"
"912861824","9.58","0","USD","TRADE","PROCESSED","2022-12-18 15:27:48","0060535d-0009-40dd-0000-4b9000033ad9_0060535d-0009-40dd-0000-000080250188","XEM/BTC","XEM / Bitcoin","","CFD"
"912861823","9.58","0","USD","TRADE","PROCESSED","2022-12-18 15:27:48","0060535d-0009-40dd-0000-4b9000033ad8_0060535d-0009-40dd-0000-000080250082","XEM/BTC","XEM / Bitcoin","","CFD"
"912861822","9.58","0","USD","TRADE","PROCESSED","2022-12-18 15:27:47","0060535d-0009-40dd-0000-4b9000033ad7_0060535d-0009-40dd-0000-00008025007f","XEM/BTC","XEM / Bitcoin","","CFD"
"912861821","9.58","0","USD","TRADE","PROCESSED","2022-12-18 15:27:47","0060535d-0009-40dd-0000-4b9000033ad6_0060535d-0009-40dd-0000-00008025007c","XEM/BTC","XEM / Bitcoin","","CFD"
"912861820","9.58","-1.22","USD","TRADE","PROCESSED","2022-12-18 15:27:47","0060535d-0009-40dd-0000-4b9000033ad5_0060535d-0009-40dd-0000-000080250047","XEM/BTC","XEM / Bitcoin","","CFD"
"912861808","10.8","0","USD","TRADE","PROCESSED","2022-12-18 15:26:40","0060535d-0009-40dd-0000-4b9000033a33_0060535d-0009-40dd-0000-000080250047","XEM/BTC","XEM / Bitcoin","","CFD"
"912861797","10.8","0","USD","TRADE","PROCESSED","2022-12-18 15:25:53","0060535d-0009-40dd-0000-4b90000339af_0060535d-0009-40dd-0000-000080250047","XEM/BTC","XEM / Bitcoin","","CFD"
"912861791","10.8","0","USD","TRADE","PROCESSED","2022-12-18 15:25:33","0060535d-0009-40dd-0000-4b9000033980_0060535d-0009-40dd-0000-000080250047","XEM/BTC","XEM / Bitcoin","","CFD"
"912861762","10.8","-0.78","USD","TRADE","PROCESSED","2022-12-18 15:23:28","001d251d-0001-54c4-0000-4b90001ec639_001d251d-0001-54c4-0000-0000803a0015","GRT/USD","The Graph / USD","","CFD"
"912807431","11.58","0","USD","TRADE","PROCESSED","2022-12-18 04:52:04","0049639d-0001-54c4-0000-4b90000a52b0_0049639d-0001-54c4-0000-0000803a001d","RVN/USD","Ravencoin / USD","","CFD"
"912773107","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:05","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773098","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773088","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773076","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773066","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773056","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773047","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912773038","11.58","0","USD","SWAP","PROCESSED","2022-12-17 22:35:04","","ADA/BTC","Cardano / Bitcoin","","CFD"
"912726438","11.58","-0.01","USD","SWAP","PROCESSED","2022-12-17 22:31:51","","GRT/USD","The Graph / USD","","CFD"
"912660282","11.59","-0.01","USD","SWAP","PROCESSED","2022-12-17 22:27:39","","SHIB/USD","Shiba Inu / USD","","CFD"
"912574878","11.6","0","USD","SWAP","PROCESSED","2022-12-17 22:22:11","","RVN/USD","Ravencoin / USD","","CFD"
"912550660","11.6","0","USD","SWAP","PROCESSED","2022-12-17 22:20:40","","XRP/BTC","Ripple / Bitcoin","","CFD"
"912550649","11.6","0","USD","SWAP","PROCESSED","2022-12-17 22:20:40","","XRP/BTC","Ripple / Bitcoin","","CFD"
"912550632","11.6","0","USD","SWAP","PROCESSED","2022-12-17 22:20:40","","XRP/BTC","Ripple / Bitcoin","","CFD"
